text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description
packing fudge,fudge packer,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
packing fudgehead,fudge packer,,,bodily fluids / excrement,sexual anatomy / sexual acts,sexual orientation / gender,1.8,Strong
packingfudge,fudge packer,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
packingfudgefucker,fudge packer,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,2.8,Severe
packingfudgefucking,fudge packer,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,2.4,Strong
packsomefudgefucker,fudge packer,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,2.4,Strong
paki,paki,,,racial / ethnic slurs,,,2.6,Severe
palm jockey,palm jockey,,,sexual anatomy / sexual acts,,,1.2,Mild
pancake face,pancake face,,,racial / ethnic slurs,,,1.6,Strong
pecker,pecker,,,sexual anatomy / sexual acts,,,1.4,Mild
peckerhead,pecker,,,sexual anatomy / sexual acts,,,1.6,Strong
pedo,pedophile,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
pedobear,pedophile,,,sexual orientation / gender,,,2,Strong
pedobears,pedophile,,,other / general insult,animal references,,2.2,Strong
pedophl,pedophile,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
pedos,pedophile,,,other / general insult,,,2.4,Strong
pedoz,pedophile,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
peen,penis,,,sexual anatomy / sexual acts,,,1,Mild
peener,penis,,,sexual anatomy / sexual acts,,,1,Mild
penisfcker,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
penisfuccer,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
penisfucker,fuck,penis,,sexual anatomy / sexual acts,,,3,Severe
penisfuckers,fuck,penis,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
penisfvcker,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
penisfvckers,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
penishead,penis,,,sexual anatomy / sexual acts,,,1.4,Mild
peter,peter puffer,,,sexual anatomy / sexual acts,,,1,Mild
peter puffer,peter puffer,,,sexual orientation / gender,sexual anatomy / sexual acts,,1.8,Strong
ph@ggots,faggot,,,sexual orientation / gender,,,2.8,Severe
phaggot,faggot,,,sexual orientation / gender,,,2.8,Severe
phaggots,faggot,,,sexual orientation / gender,,,3,Severe
phagot,faggot,,,sexual orientation / gender,,,3,Severe
phags,faggot,,,sexual orientation / gender,,,3,Severe
phuc,fuck,,,sexual anatomy / sexual acts,,,2,Strong
phucc,fuck,,,sexual anatomy / sexual acts,,,2,Strong
phuccer,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
phucchead,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
phuccing,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
phuck,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
phuck3r,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
phucked,fuck,,,sexual anatomy / sexual acts,,,2,Strong
phucker,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
phuckin,fuck,,,sexual anatomy / sexual acts,,,2,Strong
phucking,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
phuckings,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
phucks,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
phucup,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
phuk,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
phuked,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
phukeds,fuck,,,sexual anatomy / sexual acts,,,2,Strong
phukhead,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
phuking,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
phukings,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
phukk,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
phukked,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
phukkeds,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
phukker,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
Phukking,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
phuks,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
phukshit,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
phuku,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
phukup,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
phuq,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
phuqs,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
phvckings,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
pig fucker,fuck,pig,,sexual anatomy / sexual acts,animal references,,2.8,Severe
pigfucker,fuck,pig,,sexual anatomy / sexual acts,animal references,,2.6,Severe
pigfuckers,fuck,pig,,sexual anatomy / sexual acts,animal references,,3,Severe
pigfucking,fuck,pig,,sexual anatomy / sexual acts,animal references,,2.6,Severe
pigfukker,fuck,pig,,sexual anatomy / sexual acts,animal references,,2.8,Severe
piggyfuck,fuck,pig,,sexual anatomy / sexual acts,animal references,,3,Severe
pigshit,shit,pig,,bodily fluids / excrement,animal references,,1.4,Mild
pillow biter,pillow biter,,,sexual anatomy / sexual acts,,,2.4,Strong
pillow-biter,pillow biter,,,sexual orientation / gender,,,1.6,Strong
piss face,piss,,,bodily fluids / excrement,,,1.4,Mild
piss off fuckhead,fuck,,,sexual anatomy / sexual acts,bodily fluids / excrement,,3,Severe
piss shit,piss,shit,,bodily fluids / excrement,,,1.4,Mild
pissoff,piss,,,bodily fluids / excrement,,,1.2,Mild
pissoffs,piss,,,bodily fluids / excrement,other / general insult,,1.4,Mild
pole licker,pole licker,,,sexual anatomy / sexual acts,,,2.2,Strong
pole smoker,pole smoker,,,sexual anatomy / sexual acts,,,2,Strong
pole sucker,pole sucker,,,sexual anatomy / sexual acts,,,1.8,Strong
polesmoker,polesmoker,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
porch monkey,porch monkey,,,racial / ethnic slurs,,,3,Severe
prick,prick,,,sexual anatomy / sexual acts,,,1,Mild
prick-face,prick,,,sexual anatomy / sexual acts,,,1.2,Mild
prick-gobbler,prick,,,sexual anatomy / sexual acts,,,2.2,Strong
prick-head,prick,,,sexual anatomy / sexual acts,,,1.8,Strong
pricks,prick,,,sexual anatomy / sexual acts,,,1,Mild
pu$sy,pussy,,,sexual anatomy / sexual acts,,,1.6,Strong
pu55y,pussy,,,sexual anatomy / sexual acts,,,1.6,Strong
pull the pud,pull the pud,,,sexual anatomy / sexual acts,,,1.2,Mild
punani,punani,,,sexual anatomy / sexual acts,,,1.8,Strong
punk ass mofoes,motherfucker,ass,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
punkasses,ass,,,other / general insult,,,1.2,Mild
puss,pussy,,,sexual anatomy / sexual acts,,,1.4,Mild
pusses,pussy,,,sexual anatomy / sexual acts,,,1.4,Mild
pussie,pussy,,,sexual anatomy / sexual acts,,,2,Strong
pussies,pussy,,,sexual anatomy / sexual acts,sexual orientation / gender,,1,Mild
pussless,pussy,,,sexual anatomy / sexual acts,,,2,Strong
pusslicker,pussy,,,sexual anatomy / sexual acts,,,2.2,Strong
pussy,pussy,,,sexual anatomy / sexual acts,,,1.4,Mild
pussy cat,pussy,,,sexual anatomy / sexual acts,,,1.4,Mild
pussy fucker,fuck,,,sexual anatomy / sexual acts,,,2.8,Severe
pussy lick,pussy,,,sexual anatomy / sexual acts,,,2.4,Strong
pussy licker,pussy,,,sexual anatomy / sexual acts,,,2.4,Strong
pussy licking,pussy,,,sexual anatomy / sexual acts,,,2.4,Strong
pussylickers,pussy,,,sexual anatomy / sexual acts,,,2.8,Severe
pussys,pussy,,,sexual anatomy / sexual acts,,,2,Strong
pussywhipped,pussy,,,sexual anatomy / sexual acts,,,1.8,Strong
puta,punta,,,sexual orientation / gender,,,1.8,Strong
puussy,pussy,,,sexual anatomy / sexual acts,,,1.4,Mild
puzzies,pussy,,,sexual anatomy / sexual acts,,,1.4,Mild
puzzy,pussy,,,sexual anatomy / sexual acts,,,1.2,Mild
queerasses,queer,ass,,sexual orientation / gender,,,3,Severe
queers,queer,,,sexual orientation / gender,,,1.8,Strong
r3t@rd,retard,,,mental disability,,,2.8,Severe
r3t@rded,retarded,,,mental disability,,,2.8,Severe
r3tard,retard,,,mental disability,,,2.6,Severe
raghead,raghead,,,racial / ethnic slurs,,,3,Severe
ragheads,raghead,,,racial / ethnic slurs,,,2.6,Severe
ragtard,retard,raghead,,racial / ethnic slurs,,,3,Severe
ramrod,ramrod,,,sexual anatomy / sexual acts,,,1,Mild
rat bastard,bastard,,,other / general insult,animal references,,1.6,Strong
rat baztad,bastard,,,animal references,,,1.8,Strong
reacharound,reacharound,,,sexual anatomy / sexual acts,,,1.2,Mild
rectum,rectum,,,sexual anatomy / sexual acts,,,1,Mild
redskin,redskin,,,racial / ethnic slurs,,,2.2,Strong
retard,retard,,,mental disability,,,2.8,Severe
retardo,retard,,,physical disability,mental disability,,2.6,Severe
retardotron,retard,,,mental disability,,,1.8,Strong
rice monkey,monkey,,,racial / ethnic slurs,,,3,Severe
rim job,rim job,,,sexual anatomy / sexual acts,,,2,Strong
s_h_i_,shit,,,bodily fluids / excrement,,,1.2,Mild
s_h_i_s,shit,,,bodily fluids / excrement,,,1,Mild
s-lut,slut,,,sexual orientation / gender,,,1.8,Strong
s.o.b.,bitch,,,other / general insult,sexual orientation / gender,,1.2,Mild
s.o.b.s,bitch,,,other / general insult,sexual orientation / gender,,1.6,Strong
s/h/i/t,shit,,,bodily fluids / excrement,,,1,Mild
S&M,sadomasochism,,,sexual anatomy / sexual acts,,,1,Mild
sack,ballsack,,,sexual anatomy / sexual acts,,,1,Mild
salad tosser,salad tosser,,,sexual anatomy / sexual acts,,,2,Strong
sambo,sambo,,,racial / ethnic slurs,,,2.2,Strong
sand nigger,nigger,,,racial / ethnic slurs,,,3,Severe
sausage jockey,sausage jockey,,,sexual anatomy / sexual acts,,,2.6,Severe
scamfuck,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
schlong,schlong,,,sexual anatomy / sexual acts,,,1,Mild
scumfuck,fuck,scum,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
scumfucker,fuck,scum,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
scumfvck,fuck,scum,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
scummy,scum,,,other / general insult,,,1.2,Mild
scut,scut,,,other / general insult,,,1,Mild
sh! +,shit,,,bodily fluids / excrement,,,1.2,Mild
sh!+,shit,,,bodily fluids / excrement,,,1,Mild
sh1s,shit,,,bodily fluids / excrement,,,1,Mild
sh1t,shit,,,bodily fluids / excrement,,,1.2,Mild
sh1t3,shit,,,bodily fluids / excrement,,,1,Mild
sh1td1ck,shit,dick,,bodily fluids / excrement,,,2,Strong
sh1tdick,shit,dick,,sexual anatomy / sexual acts,,,2.4,Strong
sh1te,shit,,,bodily fluids / excrement,,,1,Mild
sh1tfuck,fuck,shit,,other / general insult,bodily fluids / excrement,,2.6,Severe
sh1th3ad,shit,,,bodily fluids / excrement,mental disability,,2,Strong
sh1theads,shit,,,bodily fluids / excrement,other / general insult,,2,Strong
sh1ts,shit,,,bodily fluids / excrement,,,1,Mild
sh1tsome,shit,,,bodily fluids / excrement,,,1.2,Mild
sh1tt,shit,,,bodily fluids / excrement,,,1,Mild
sh1tty,shit,,,bodily fluids / excrement,,,1.2,Mild
sh3mal3,shemale,,,sexual orientation / gender,,,2.6,Severe
sh3male,shemale,,,sexual orientation / gender,,,2.4,Strong
shat,shit,,,bodily fluids / excrement,,,1.2,Mild
she-male,shemale,,,sexual orientation / gender,,,2.8,Severe
sheeeet,shit,,,bodily fluids / excrement,,,1,Mild
sheet,shit,,,bodily fluids / excrement,,,1,Mild
sheister,shit,,,racial / ethnic slurs,,,2,Strong
shemal3,shemale,,,sexual orientation / gender,,,1.8,Strong
shemale,shemale,,,sexual orientation / gender,,,2.6,Severe
shemales,shemale,,,sexual orientation / gender,,,1.8,Strong
shet,shit,,,bodily fluids / excrement,,,1,Mild
shi+,shit,,,bodily fluids / excrement,,,1,Mild
shi+e,shit,,,bodily fluids / excrement,,,1,Mild
shi+y,shit,,,bodily fluids / excrement,,,1,Mild
shiat,shit,,,bodily fluids / excrement,,,1,Mild
shiddick,shit,dick,,sexual anatomy / sexual acts,bodily fluids / excrement,,2,Strong
shiester,shiester,,,racial / ethnic slurs,,,2,Strong
shiesterfuck,fuck,shit,,sexual anatomy / sexual acts,racial / ethnic slurs,,2.2,Strong
shiesterfuckface,fuck,shit,,sexual anatomy / sexual acts,racial / ethnic slurs,,2.8,Severe
shiesterfuckhead,fuck,shit,,sexual anatomy / sexual acts,racial / ethnic slurs,,2.2,Strong
shiesterfucks,fuck,shit,,sexual anatomy / sexual acts,racial / ethnic slurs,,2.4,Strong
shipdit,shit,,,bodily fluids / excrement,,,1.4,Mild
shit,shit,,,bodily fluids / excrement,,,1.2,Mild
shit face,shit,,,bodily fluids / excrement,physical attributes,,1.8,Strong
shit for brains,shit,,,bodily fluids / excrement,mental disability,,1.6,Strong
shit fuck,fuck,shit,,other / general insult,bodily fluids / excrement,,2.4,Strong
shit fucker,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.8,Severe
shit head,shit,,,bodily fluids / excrement,,,1.8,Strong
shit licker,shit,,,bodily fluids / excrement,sexual anatomy / sexual acts,,2,Strong
shit stain,shit,,,bodily fluids / excrement,,,1.8,Strong
shit-arse,shit,arse,,sexual anatomy / sexual acts,,,1.6,Strong
shit-ass,shit,ass,,bodily fluids / excrement,,,2,Strong
shit-bandit,shit,,,bodily fluids / excrement,other / general insult,,1.6,Strong
shit-fucker,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.6,Severe
shit-stuffers,shit,,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.8,Strong
shit3,shit,,,bodily fluids / excrement,,,1,Mild
shitass,shit,ass,,sexual anatomy / sexual acts,bodily fluids / excrement,,2,Strong
shitasses,shit,ass,,sexual anatomy / sexual acts,bodily fluids / excrement,,2,Strong
shitassfucker,fuck,shit,ass,sexual anatomy / sexual acts,bodily fluids / excrement,,2.6,Severe
shitassfuckface,fuck,shit,ass,sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.8,Severe
shitbag,shit,,,bodily fluids / excrement,,,2,Strong
shitbird,shit,,,bodily fluids / excrement,,,1.8,Strong
shitblimp,shit,,,bodily fluids / excrement,physical attributes,,1.6,Strong
shitblimps,shit,,,bodily fluids / excrement,physical attributes,,1.6,Strong
shitbrain,shit,,,bodily fluids / excrement,,,2,Strong
shitd1ck,shit,dick,,sexual anatomy / sexual acts,bodily fluids / excrement,,2,Strong
shitdick,shit,dick,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
shitdicks,shit,dick,,sexual anatomy / sexual acts,bodily fluids / excrement,,2,Strong
shitdikk,shit,dick,,bodily fluids / excrement,,,2,Strong
shitdip,shit,,,bodily fluids / excrement,,,1.8,Strong
shite,shit,,,bodily fluids / excrement,,,1,Mild
shiteblimps,shit,,,bodily fluids / excrement,,,1.8,Strong
shited,shit,,,bodily fluids / excrement,,,1.2,Mild
shitedick,shit,dick,,sexual anatomy / sexual acts,,,2,Strong
shitefuck,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.6,Strong
shitefulls,shit,,,bodily fluids / excrement,,,1.8,Strong
shitehead,shit,,,bodily fluids / excrement,,,1.8,Strong
shites,shit,,,bodily fluids / excrement,,,1,Mild
shitey,shit,,,bodily fluids / excrement,,,1.2,Mild
shitface,shit,,,bodily fluids / excrement,,,2,Strong
shitfaced,shit,,,bodily fluids / excrement,physical attributes,,1.2,Mild
shitfacefuck,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.8,Severe
shitfacefucker,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.6,Severe
shitfck,shit,fuck,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
shitfk,shit,fuck,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.8,Strong
shitfreak,shit,,,bodily fluids / excrement,,,2,Strong
shitfuck,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
shitfucker,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
shitfuckhead,fuck,shit,,other / general insult,bodily fluids / excrement,,2.6,Severe
shitfuckmotherfucker,motherfucker,shit,fuck,sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.8,Severe
shitfucks,fuck,shit,,sexual anatomy / sexual acts,,,2.4,Strong
shitfudgefucker,fuck,shit,fudge packer,bodily fluids / excrement,other / general insult,,2.6,Severe
shitfvck,shit,fuck,,sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.2,Strong
shithead,shit,,,bodily fluids / excrement,,,1.8,Strong
shitheadfucker,fuck,shit,,sexual anatomy / sexual acts,,,2.8,Severe
shitheadfuckface,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.4,Strong
shitheads,shit,,,bodily fluids / excrement,,,1.8,Strong
shithole,shit,,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.8,Strong
shits,shit,,,bodily fluids / excrement,,,1,Mild
shitsdick,shit,dick,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.8,Strong
shitsfuck,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
shitsful,shit,,,bodily fluids / excrement,,,1,Mild
shittastic,shit,,,bodily fluids / excrement,,,1.2,Mild
shittasticfuck,fuck,shit,,bodily fluids / excrement,,,2.2,Strong
shitte,shit,,,bodily fluids / excrement,,,1,Mild
shitted,shit,,,bodily fluids / excrement,,,1.2,Mild
shitter,shit,,,bodily fluids / excrement,,,1,Mild
shitterfucker,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.6,Severe
shitti,shit,,,bodily fluids / excrement,,,1,Mild
shitties,shit,,,bodily fluids / excrement,,,1,Mild
shittiest,shit,,,bodily fluids / excrement,,,1.2,Mild
shitting,shit,,,bodily fluids / excrement,,,1.4,Mild
shittings,shit,,,bodily fluids / excrement,,,1.2,Mild
shitty,shit,,,bodily fluids / excrement,,,1,Mild
shitty mofoes,shit,motherfucker,,bodily fluids / excrement,sexual anatomy / sexual acts,other / general insult,1.6,Strong
shittydick,shit,dick,,bodily fluids / excrement,sexual anatomy / sexual acts,,2,Strong
shittydicks,shit,dick,,sexual anatomy / sexual acts,bodily fluids / excrement,,2,Strong
shittyfuck,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.8,Strong
shittyfuckface,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.2,Strong
shittyful,shit,,,bodily fluids / excrement,,,1.6,Strong
shlong,shlong,,,sexual anatomy / sexual acts,,,1,Mild
shmale,shemale,,,sexual orientation / gender,,,1.4,Mild
shtfuk,shit,fuck,,other / general insult,bodily fluids / excrement,,1.8,Strong
shut the fuck up,fuck,,,other / general insult,,,2.2,Strong
shylock,shylock,,,racial / ethnic slurs,,,1.6,Strong
shytfeisterfuck,fuck,,,sexual anatomy / sexual acts,,,2.6,Severe
sissy,sissy,,,sexual orientation / gender,,,1,Mild
sixty-nine,69,,,sexual anatomy / sexual acts,,,1.2,Mild
sk@nks,skank,,,sexual orientation / gender,,,1.6,Strong
sk@nky,skank,,,sexual orientation / gender,,,1,Mild
sk@nkz,skank,,,sexual orientation / gender,,,1.4,Mild
skank,skank,,,sexual orientation / gender,,,1.8,Strong
skanks,skank,,,sexual orientation / gender,,,1.2,Mild
skanky,skank,,,sexual orientation / gender,,,1.4,Mild
skankz,skank,,,sexual orientation / gender,,,1.6,Strong
sl@nteye,slant eye,,,racial / ethnic slurs,physical attributes,,3,Severe
slag,slag,,,sexual orientation / gender,,,1.6,Strong
slantard,retard,slant eye,,racial / ethnic slurs,,,2.8,Severe
slanteye,slant eye,,,racial / ethnic slurs,physical attributes,,3,Severe
slanteye b1tch,bitch,slant eye,,racial / ethnic slurs,sexual orientation / gender,,2.6,Severe
slanteyes,slant eye,,,racial / ethnic slurs,,,3,Severe
slanteyeshit,shit,slant eye,,bodily fluids / excrement,racial / ethnic slurs,,3,Severe
slantfreak,slant eye,,,racial / ethnic slurs,physical attributes,,2.6,Severe
slanty,slant eye,,,racial / ethnic slurs,physical attributes,,2.6,Severe
slit,slit,,,sexual orientation / gender,,,1.6,Strong
slut,slut,,,sexual orientation / gender,,,2,Strong
slut hole,slut,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
sluts,slut,,,sexual orientation / gender,,,1.6,Strong
slutty,slut,,,sexual orientation / gender,,,1.8,Strong
snatch,snatch,,,sexual anatomy / sexual acts,,,1,Mild
snatch licker,snatch,,,sexual anatomy / sexual acts,,,2.8,Severe
soab,bitch,,,other / general insult,sexual orientation / gender,,1.6,Strong
son o bitch,bitch,,,sexual orientation / gender,,,1.6,Strong
son of a bitch,bitch,,,other / general insult,sexual orientation / gender,,1.2,Mild
son-of-a-bitch,bitch,,,sexual orientation / gender,other / general insult,,1.2,Mild
sonna bitch,bitch,,,sexual orientation / gender,other / general insult,,1.2,Mild
sonofabitch,bitch,,,other / general insult,sexual orientation / gender,,1.4,Mild
sonofbitches,bitch,,,sexual orientation / gender,other / general insult,,1,Mild
sons of b1tches,bitch,,,sexual orientation / gender,,,1.6,Strong
sons of bitches,bitch,,,other / general insult,sexual orientation / gender,,1.6,Strong
sons-of-bitches,bitch,,,other / general insult,sexual orientation / gender,,1.4,Mild
sonz of bitchez,bitch,,,other / general insult,sexual orientation / gender,,1.8,Strong
soppy bollucks,bollocks,,,sexual anatomy / sexual acts,,,1.6,Strong
spanking,spank,,,sexual anatomy / sexual acts,,,1,Mild
sperm,sperm,,,bodily fluids / excrement,,,1,Mild
sphincter,sphincter,,,sexual anatomy / sexual acts,,,1,Mild
spic,spic,,,racial / ethnic slurs,,,3,Severe
spicfuck,fuck,spic,,sexual anatomy / sexual acts,racial / ethnic slurs,,3,Severe
spick,spic,,,racial / ethnic slurs,,,2.8,Severe
spics,spic,,,racial / ethnic slurs,,,2.8,Severe
spicshit,spic,shit,,bodily fluids / excrement,racial / ethnic slurs,,3,Severe
spig,spic,,,racial / ethnic slurs,,,2.6,Severe
spik,spic,,,racial / ethnic slurs,,,3,Severe
spix,spic,,,racial / ethnic slurs,,,3,Severe
spook,spook,,,racial / ethnic slurs,,,3,Severe
spooks,spook,,,racial / ethnic slurs,,,2.6,Severe
spunk,spunk,,,bodily fluids / excrement,,,1.2,Mild
stfu,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
stump chewer,stump chewer,,,sexual anatomy / sexual acts,,,1.4,Mild
stupid fucker,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
stupid hoe,hoe,,,sexual orientation / gender,,,2.4,Strong
stupidasses,ass,,,sexual anatomy / sexual acts,mental disability,,1,Mild
suck,suck,,,sexual anatomy / sexual acts,,,1,Mild
suck my cock,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
suck my d,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
suck my dick,dick,,,sexual anatomy / sexual acts,,,2.2,Strong
suck off,suck,,,sexual anatomy / sexual acts,,,1.8,Strong
sum of a bitch,bitch,,,other / general insult,sexual orientation / gender,,1.4,Mild
sumbitch,bitch,,,sexual orientation / gender,,,1.6,Strong
swine,swine,,,animal references,,,1,Mild
swine fucker,fuck,swine,,sexual anatomy / sexual acts,animal references,,2.8,Severe
tacohead,tacohead,,,racial / ethnic slurs,,,2.4,Strong
tadger,tadger,,,sexual anatomy / sexual acts,,,1.4,Mild
taking the piss,taking the piss,,,bodily fluids / excrement,,,1,Mild
tallywacker,tallywacker,,,sexual anatomy / sexual acts,,,1.2,Mild
tar-baby,tar-baby,,,racial / ethnic slurs,,,2.6,Severe
tard,retard,,,mental disability,,,2.8,Severe
tard asses,ass,,,sexual anatomy / sexual acts,mental disability,,3,Severe
tart,tart,,,mental disability,sexual anatomy / sexual acts,sexual orientation / gender,1.2,Mild
throat yogurt,throat yogurt,,,bodily fluids / excrement,,,1.8,Strong
throater,throater,,,sexual anatomy / sexual acts,,,2.4,Strong
tickle the pickle,tickle the pickle,,,sexual anatomy / sexual acts,,,1.2,Mild
timber nigger,nigger,,,racial / ethnic slurs,,,3,Severe
tits,tit,,,sexual anatomy / sexual acts,,,1,Mild
tongue fucker,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
tongue fucking,fuck,,,sexual anatomy / sexual acts,,,2.8,Severe
tosser,tosser,,,other / general insult,,,1.2,Mild
tossing salad,tossing salad,,,sexual anatomy / sexual acts,,,1.8,Strong
towelhead,towelhead,,,racial / ethnic slurs,,,3,Severe
towelheads,towelhead,,,racial / ethnic slurs,,,3,Severe
towelshithead,towelhead,shit,,racial / ethnic slurs,,,2.6,Severe
tramp,tramp,,,sexual orientation / gender,,,1.6,Strong
Tranny,tranny,,,sexual orientation / gender,,,2.8,Severe
transvestite,transvestite,,,sexual orientation / gender,,,2.4,Strong
trashb1tch,bitch,trash,,sexual orientation / gender,,,1.8,Strong
trashbitch,bitch,trash,,sexual orientation / gender,other / general insult,,2,Strong
trashbitches,bitch,trash,,sexual orientation / gender,,,1.4,Mild
trashbitchez,bitch,trash,,sexual orientation / gender,,,1.2,Mild
trashbtch,bitch,trash,,sexual orientation / gender,,,1.4,Mild
trasherbitch,bitch,trash,,sexual orientation / gender,other / general insult,,1.4,Mild
trasherbitchs,bitch,trash,,sexual orientation / gender,,,1.2,Mild
trashybitches,bitch,,,sexual orientation / gender,,,1.8,Strong
trouser snake,trouser snake,,,sexual anatomy / sexual acts,,,1,Mild
trousersnake,trousersnake,,,sexual anatomy / sexual acts,,,1.4,Mild
turdcutter,turd,,,other / general insult,bodily fluids / excrement,,1.6,Strong
turdhead,turd,,,bodily fluids / excrement,,,1.6,Strong
tw@t,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
twa+,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.2,Mild
twat,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
twat waffle,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,2,Strong
twatface,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
twats,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.6,Strong
twatt,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.6,Strong
twattish,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.6,Strong
twatzilla,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,2,Strong
twink,twink,,,sexual orientation / gender,,,1.2,Mild
upskirts,upskirt,,,sexual anatomy / sexual acts,,,1.4,Mild
useless fucker,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
vag,vagina,,,sexual anatomy / sexual acts,,,1.2,Mild
vajayjay,vagina,,,sexual anatomy / sexual acts,,,1.2,Mild
vulva,vulva,,,sexual anatomy / sexual acts,,,1,Mild
